Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
6,183,TAM,Devante Bond\BondDe00,OLB,23,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma,College Stats
6,184,NYG,Jerell Adams\AdamJe01,TE,23,2016,0,0,0,0,0,2,,,,,,,,,,,,,,,South Carolina,College Stats
6,185,CHI,DeAndre Houston-Carson\HousDe00,FS,,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,William & Mary,
6,186,MIA,Jakeem Grant\GranJa00,WR,23,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Texas Tech,
6,187,WAS,Nate Sudfeld\SudfNa00,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Indiana,College Stats
6,188,MIN,David Morgan\MorgDa01,TE,23,2016,0,0,0,0,0,3,,,,,,,,,,,,,,,Texas-San Antonio,
6,189,DAL,Anthony Brown\BrowAn02,CB,22,2016,0,0,0,0,0,4,,,,,,,,,,,,5,,,Purdue,
6,190,LAR,Josh Forrest\ForrJo00,ILB,,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Kentucky,College Stats
6,191,DET,Jake Rudock\RudoJa00,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats
6,192,BUF,Kolby Listenbee\ListKo00,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats
6,193,TEN,Sebastian Tretola\TretSe00,G,24,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas,College Stats
6,194,OAK,Cory James\JameCo00,OLB,23,2016,0,0,0,0,0,4,,,,,,,,,,,,20,,,Colorado St.,
6,195,ATL,Wes Schweitzer\SchwWe00,G,23,,0,0,0,,,,,,,,,,,,,,,,,,San Jose St.,College Stats
6,196,PHI,Blake Countess\CounBl00,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,
6,197,TAM,Dan Vitale\VitaDa00,FB,21,,0,0,0,,,,,,,,,,,,,,,,,,Northwestern,College Stats
6,198,SDG,Derek Watt\WattDe00,FB,23,2016,0,0,0,0,0,4,,,,,,,,,1,6,0,,,,Wisconsin,College Stats
6,199,CIN,Cody Core\CoreCo00,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats
6,200,GNB,Kyle Murphy\MurpKy00,T,22,,0,0,0,,,,,,,,,,,,,,,,,,Stanford,College Stats
